u_BT,PosXRight,PosYRight,u_VSP1,Absolute Time
0.000000,0.000000,-1.000000,-0.858369,3568296683.160418
0.000000,0.000000,-1.000000,-0.858369,3568296683.170417
0.000000,0.000000,-1.000000,-0.858369,3568296683.180418
0.000000,0.000000,-1.000000,-0.858369,3568296683.190419
0.000000,0.000000,-1.000000,-0.858369,3568296683.200420
0.000000,0.000000,-1.000000,-0.858369,3568296683.210420
0.000000,0.000000,-0.989746,-0.858369,3568296683.220421
0.000000,0.000000,-0.824793,-0.849567,3568296683.230420
0.000000,0.000000,-0.680441,-0.707977,3568296683.240420
0.000000,0.000000,-0.680441,-0.584069,3568296683.250421
0.000000,0.000000,-0.525803,-0.584069,3568296683.260422
0.000000,0.000000,-0.371166,-0.451333,3568296683.270422
0.000000,0.000000,-0.237129,-0.318598,3568296683.280422
0.000000,0.000000,-0.082492,-0.203544,3568296683.290421
0.000000,0.000000,0.000000,-0.070808,3568296683.300422
0.000000,0.000000,0.000000,0.000000,3568296683.310422
0.000000,0.000000,0.000000,0.000000,3568296683.320423
0.000000,0.000000,0.000000,0.000000,3568296683.330423
0.000000,0.000000,0.000000,0.000000,3568296683.340424
0.000000,0.000000,0.000000,0.000000,3568296683.350423
0.000000,0.000000,0.000000,0.000000,3568296683.360424
0.000000,0.000000,0.000000,0.000000,3568296683.370424
0.000000,0.000000,0.000000,0.000000,3568296683.380424
0.000000,0.000000,0.000000,0.000000,3568296683.390425
0.000000,0.000000,0.000000,0.000000,3568296683.400425
0.000000,0.000000,0.000000,0.000000,3568296683.410425
0.000000,0.000000,0.000000,0.000000,3568296683.420425
0.000000,0.000000,0.000000,0.000000,3568296683.430427
0.000000,0.000000,0.000000,0.000000,3568296683.440427
0.000000,0.000000,0.000000,0.000000,3568296683.450427
0.000000,0.000000,0.000000,0.000000,3568296683.460427
0.000000,0.000000,0.000000,0.000000,3568296683.470427
0.000000,0.000000,0.000000,0.000000,3568296683.480429
0.000000,0.000000,0.000000,0.000000,3568296683.490427
0.000000,0.000000,0.000000,0.000000,3568296683.500428
0.000000,0.000000,0.000000,0.000000,3568296683.510427
0.000000,0.000000,0.000000,0.000000,3568296683.520428
0.000000,0.000000,0.000000,0.000000,3568296683.530428
0.000000,0.000000,0.000000,0.000000,3568296683.540429
0.000000,0.000000,0.000000,0.000000,3568296683.550429
0.000000,0.000000,0.000000,0.000000,3568296683.560430
